t_rel,chew
3.800156,1
3.833491,1
3.866825,1
3.900160,1
3.933495,1
3.966830,1
4.000164,1
4.033499,1
4.066834,1
4.100168,1
4.133503,1
4.166838,1
4.200172,1
4.233507,1
4.266842,1
4.300177,1
4.333511,1
4.366846,1
4.400181,1
4.433515,1
4.466850,1
4.500185,1
4.533519,1
4.566854,1
4.600189,1
4.633524,1
4.666858,1
4.700193,1
4.733528,1
4.766862,1
4.800197,1
4.833532,1
4.866866,1
4.900201,1
4.933536,1
4.966871,1
5.000205,1
5.033540,1
5.066875,1
5.100209,1
5.133544,1
5.166879,1
5.200213,1
5.233548,1
5.266883,1
5.300218,1
5.333552,1
5.366887,1
5.400222,1
5.433556,1
5.466891,1
5.500226,1
5.533560,1
5.566895,1
5.600230,1
5.633565,1
5.666899,1
5.700234,1
5.733569,1
5.766903,1
5.800238,1
5.833573,1
5.866907,1
5.900242,1
5.933577,1
5.966912,1
6.000246,1
6.033581,1
6.066916,1
6.100250,1
6.133585,1
6.166920,1
6.200255,1
6.233589,1
6.266924,1
6.300259,1
6.333593,1
6.366928,1
6.400263,1
6.433597,1
6.466932,1
6.500267,1
6.533602,1
6.566936,1
6.600271,1
6.633606,1
6.666940,1
6.700275,1
6.733610,1
6.766944,1
6.800279,1
6.833614,1
6.866949,1
6.900283,1
6.933618,1
6.966953,1
7.000287,1
7.033622,1
7.066957,1
7.100291,1
7.133626,1
7.166961,1
7.200296,1
7.233630,1
7.266965,1
7.300300,1
7.333634,1
7.366969,1
7.400304,1
7.433638,1
7.466973,1
7.500308,1
7.533643,1
7.566977,1
7.600312,1
7.633647,1
7.666981,1
7.700316,1
7.733651,1
7.766985,1
7.800320,1
7.833655,1
7.866990,1
7.900324,1
7.933659,1
7.966994,1
8.000328,1
8.033663,1
8.066998,1
8.100333,1
8.133667,1
8.167002,1
8.200337,1
8.233671,1
8.267006,1
8.300341,1
8.333675,1
8.367010,1
8.400345,1
8.433680,1
8.467014,1
8.500349,1
8.533684,1
8.567018,1
8.600353,1
8.633688,1
8.667022,1
8.700357,1
8.733692,1
8.767027,1
8.800361,1
8.833696,1
8.867031,1
8.900365,1
8.933700,1
8.967035,1
9.000369,1
9.033704,1
9.067039,1
9.100374,1
9.133708,1
9.167043,1
9.200378,1
9.233712,1
9.267047,1
9.300382,1
9.333716,1
9.367051,1
9.400386,1
9.433721,1
9.467055,1
9.500390,1
9.533725,1
9.567059,1
9.600394,1
9.633729,1
9.667063,1
9.700398,1
9.733733,1
9.767068,1
9.800402,1
9.833737,1
9.867072,1
9.900406,1
9.933741,1
9.967076,1
10.000411,1
10.033745,1
10.067080,1
10.100415,1
10.133749,1
10.167084,1
10.200419,1
10.233753,1
10.267088,1
10.300423,1
10.333758,1
10.367092,1
10.400427,1
10.433762,1
10.467096,1
10.500431,1
10.533766,1
10.567100,1
10.600435,1
10.633770,1
10.667105,1
10.700439,1
10.733774,1
10.767109,1
10.800443,1
10.833778,1
10.867113,1
10.900447,1
10.933782,1
10.967117,1
11.000452,1
11.033786,1
11.067121,1
11.100456,1
11.133790,1
11.167125,1
11.200460,1
11.233794,1
11.267129,1
11.300464,1
11.333799,1
11.367133,1
11.400468,1
11.433803,1
11.467137,1
11.500472,1
11.533807,1
11.567141,1
11.600476,1
11.633811,1
11.667146,1
11.700480,1
11.733815,1
11.767150,1
11.800484,1
11.833819,1
11.867154,1
11.900489,1
11.933823,1
11.967158,1
12.000493,1
12.033827,1
12.067162,1
12.100497,1
12.133831,1
12.167166,1
12.200501,1
12.233836,1
