t_rel,event,confirmed,chew
1.510000,closed,1,0.000000
1.740000,open,1,0.000000
1.920000,closed,1,0.000000
2.160000,open,1,0.000000
2.333411,closed,1,0.000000
2.440000,closed,1,0.000000
2.466749,closed,1,1.000000
2.500083,closed,1,1.000000
2.990000,open,1,1.000000
3.760000,open,1,1.000000
4.070000,closed,1,1.000000
4.460000,open,1,1.000000
4.740000,closed,1,1.000000
5.160000,open,1,1.000000
5.790000,open,1,1.000000
6.430000,open,1,1.000000
7.100000,open,1,1.000000
7.740000,open,1,1.000000
8.430000,open,1,1.000000
9.830000,open,1,1.000000
10.530000,open,1,1.000000
10.820000,closed,1,1.000000
11.260000,open,1,1.000000
11.980000,open,1,1.000000
13.100437,closed,1,1.000000
13.200440,closed,1,0.000000
13.280000,open,1,0.000000
13.540000,closed,1,0.000000
13.990000,open,1,0.000000
18.020000,open,1,0.000000
21.170000,open,1,0.000000
23.880000,closed,1,0.000000
24.140000,open,1,0.000000
24.390000,closed,1,0.000000
24.640000,open,1,0.000000
24.867496,closed,1,0.000000
24.900830,closed,1,0.000000
24.920000,closed,1,0.000000
24.967499,closed,1,1.000000
25.450000,open,1,1.000000
26.160000,open,1,1.000000
26.480000,closed,1,1.000000
26.790000,open,1,1.000000
27.150000,closed,1,1.000000
27.470000,open,1,1.000000
27.820000,closed,1,1.000000
28.120000,open,1,1.000000
28.590000,closed,1,1.000000
28.850000,open,1,1.000000
29.130000,closed,1,1.000000
29.450000,open,1,1.000000
29.730000,closed,1,1.000000
30.420000,closed,1,1.000000
30.720000,open,1,1.000000
31.980000,open,1,1.000000
32.690000,open,1,1.000000
33.340000,open,1,1.000000
33.990000,open,1,1.000000
34.800000,open,1,1.000000
36.160000,open,1,1.000000
36.910000,open,1,1.000000
37.170000,closed,1,1.000000
37.710000,open,1,1.000000
37.970000,closed,1,1.000000
38.420000,open,1,1.000000
38.760000,closed,1,1.000000
39.120000,open,1,1.000000
39.410000,closed,1,1.000000
39.850000,open,1,1.000000
40.160000,closed,1,1.000000
40.740000,closed,1,1.000000
41.000000,open,1,1.000000
41.101370,closed,1,1.000000
41.260000,closed,1,0.000000
41.634721,closed,1,0.000000
41.780000,open,1,0.000000
42.670000,open,1,0.000000
43.550000,closed,1,0.000000
44.170000,open,1,0.000000
44.430000,closed,1,0.000000
