t_rel,event,height_z,width_s,source
2.670000,closed,-1.505,0.000,video
2.970000,open,4.060,0.000,video
3.270000,closed,-1.365,0.000,video
3.500000,open,1.205,0.000,video
4.210000,closed,-1.189,0.000,video
4.560000,open,1.819,0.000,video
5.230000,open,2.038,0.000,video
5.870000,open,1.131,0.000,video
6.540000,open,2.768,0.000,video
6.820000,closed,-1.323,0.000,video
7.140000,open,1.924,0.000,video
7.820000,open,2.384,0.000,video
8.540000,open,2.028,0.000,video
9.260000,open,1.706,0.000,video
9.980000,open,1.491,0.000,video
10.760000,open,2.518,0.000,video
11.640000,open,1.547,0.000,video
12.370000,open,2.418,0.000,video
13.210000,open,2.449,0.000,video
14.330000,open,2.673,0.000,video
14.640000,closed,-1.239,0.000,video
15.170000,open,2.342,0.000,video
15.460000,closed,-1.013,0.000,video
16.000000,open,2.563,0.000,video
16.820000,open,2.080,0.000,video
17.100000,closed,-1.139,0.000,video
17.650000,open,2.516,0.000,video
18.550000,open,2.396,0.000,video
18.860000,closed,-1.083,0.000,video
19.760000,open,5.776,0.000,video
20.030000,closed,-2.354,0.000,video
20.650000,open,1.580,0.000,video
21.420000,open,2.466,0.000,video
22.820000,open,3.853,0.000,video
23.080000,closed,-1.993,0.000,video
23.580000,open,2.595,0.000,video
23.940000,closed,-1.404,0.000,video
24.790000,open,3.329,0.000,video
25.070000,closed,-1.328,0.000,video
26.250000,open,3.210,0.000,video
28.750000,open,1.753,0.000,video
29.840000,open,1.938,0.000,video
30.490000,open,1.882,0.000,video
31.170000,open,1.620,0.000,video
31.800000,open,1.769,0.000,video
32.470000,open,1.962,0.000,video
33.180000,open,1.943,0.000,video
33.580000,closed,-1.043,0.000,video
33.850000,open,1.893,0.000,video
34.480000,open,1.883,0.000,video
35.160000,open,2.049,0.000,video
35.840000,open,1.775,0.000,video
36.520000,open,2.108,0.000,video
36.810000,closed,-1.116,0.000,video
37.300000,open,1.788,0.000,video
38.050000,open,1.869,0.000,video
38.730000,open,2.206,0.000,video
39.450000,open,1.260,0.000,video
40.270000,open,2.077,0.000,video
41.020000,open,1.592,0.000,video
41.780000,open,1.975,0.000,video
42.050000,closed,-1.052,0.000,video
42.500000,open,2.362,0.000,video
43.260000,closed,-1.115,0.000,video
43.520000,open,5.460,0.000,video
43.770000,closed,-2.684,0.000,video
44.240000,open,1.791,0.000,video
46.490000,open,1.822,0.000,video
46.770000,closed,-1.277,0.000,video
47.320000,open,1.058,0.000,video
48.090000,open,1.899,0.000,video
48.490000,closed,-1.079,0.000,video
48.920000,open,2.515,0.000,video
49.310000,closed,-1.563,0.000,video
49.660000,open,1.486,0.000,video
50.370000,open,1.977,0.000,video
51.110000,open,1.754,0.000,video
51.880000,open,2.121,0.000,video
52.600000,open,1.863,0.000,video
53.330000,open,1.922,0.000,video
54.000000,open,2.566,0.000,video
54.250000,closed,-1.004,0.000,video
54.790000,open,2.246,0.000,video
55.450000,open,1.696,0.000,video
57.650000,open,2.520,0.000,video
58.290000,open,1.199,0.000,video
58.980000,open,2.715,0.000,video
59.650000,open,1.205,0.000,video
60.360000,open,2.689,0.000,video
61.350000,open,1.811,0.000,video
61.730000,closed,-1.538,0.000,video
62.020000,open,2.853,0.000,video
62.290000,closed,-1.016,0.000,video
62.740000,open,2.714,0.000,video
63.290000,closed,-1.055,0.000,video
63.590000,open,2.596,0.000,video
64.020000,closed,-1.210,0.000,video
64.340000,open,2.603,0.000,video
64.880000,closed,-1.495,0.000,video
65.140000,open,2.983,0.000,video
65.460000,closed,-1.153,0.000,video
65.800000,open,2.098,0.000,video
66.580000,open,2.645,0.000,video
67.040000,closed,-1.259,0.000,video
67.340000,open,2.194,0.000,video
68.120000,open,2.454,0.000,video
68.580000,closed,-1.126,0.000,video
68.860000,open,2.603,0.000,video
69.360000,closed,-1.204,0.000,video
69.690000,open,2.969,0.000,video
70.540000,open,1.331,0.000,video
71.890000,open,3.893,0.000,video
72.140000,closed,-2.286,0.000,video
72.610000,open,2.180,0.000,video
73.010000,open,1.321,0.000,video
73.920000,open,3.210,0.000,video
74.380000,closed,-1.472,0.000,video
74.690000,open,1.527,0.000,video
74.950000,closed,-1.259,0.000,video
75.380000,open,4.009,0.000,video
75.650000,closed,-1.983,0.000,video
76.390000,open,2.749,0.000,video
76.640000,closed,-1.136,0.000,video
77.460000,open,3.968,0.000,video
77.750000,closed,-1.644,0.000,video
78.930000,open,3.554,0.000,video
