frame,timestamp,anchor_to_top_lip_top,lips_label,teeth_label
0,0.0,66.48555354247947,Closed,Open
1,0.0333355063016079,68.78850429981998,Closed,Open
2,0.0666710126032159,74.77874338963875,Closed,Open
3,0.1000065189048239,75.27738741963248,Closed,Open
4,0.1333420252064319,75.31070236309003,Closed,Open
5,0.16667753150804,73.56884371844528,Closed,Open
6,0.2000130378096479,76.59174463773832,Closed,Open
7,0.2333485441112559,77.93301352806222,Closed,Open
8,0.2666840504128639,75.3895265722353,Closed,Open
9,0.3000195567144719,75.53644546767852,Closed,Open
10,0.33335506301608,75.76170292900699,Closed,Open
11,0.3666905693176879,75.18802248385632,Closed,Open
12,0.4000260756192959,76.60201948027863,Closed,Open
13,0.4333615819209039,74.5034608498888,Closed,Open
14,0.4666970882225119,75.210896748523,Closed,Open
15,0.50003259452412,73.91015291668744,Closed,Open
16,0.5333681008257279,77.26101832696372,Closed,Open
17,0.5667036071273359,76.50009071456336,Closed,Open
18,0.6000391134289439,74.64926058681394,Closed,Open
19,0.6333746197305519,75.36080936309824,Closed,Open
20,0.66671012603216,77.71783897002892,Closed,Open
21,0.7000456323337679,76.3423931132268,Closed,Open
22,0.7333811386353759,80.4037054268209,Closed,Open
23,0.7667166449369839,74.83689520659065,Closed,Open
24,0.8000521512385919,74.35901951386339,Closed,Open
25,0.8333876575401998,74.07003200941163,Closed,Open
26,0.8667231638418079,76.32505032114372,Closed,Open
27,0.9000586701434159,73.86026817754633,Closed,Open
28,0.933394176445024,75.2620948866286,Closed,Open
29,0.9667296827466318,77.76345460723974,Closed,Open
30,1.00006518904824,81.38687453614679,Closed,Open
31,1.0334006953498478,83.20904146137373,Closed,Open
32,1.066736201651456,88.84150045193198,Open,Open
33,1.1000717079530635,91.18076271275802,Open,Open
34,1.1334072142546718,98.0058813746596,Open,Open
35,1.16674272055628,86.47935565205788,Closed,Open
36,1.2000782268578878,102.40366256674469,Open,Open
37,1.233413733159496,80.11018332946699,Closed,Open
38,1.2667492394611035,82.67334928409193,Closed,Open
39,1.3000847457627118,90.91761245701272,Open,Open
40,1.33342025206432,86.53658627846661,Closed,Open
41,1.3667557583659278,82.76435152344156,Closed,Open
42,1.400091264667536,87.70491239515044,Closed,Open
43,1.4334267709691435,81.09555598095722,Closed,Open
44,1.4667622772707518,79.4610658415766,Closed,Open
45,1.5000977835723597,74.30922674437836,Closed,Open
46,1.5334332898739678,68.2092147545295,Closed,Open
47,1.566768796175576,79.68430981597403,Closed,Open
48,1.6001043024771835,71.02575575915485,Closed,Open
49,1.6334398087787918,80.17277606371556,Closed,Open
50,1.6667753150803997,72.54010658258561,Closed,Open
51,1.7001108213820078,82.92198343427174,Closed,Open
52,1.7334463276836158,83.49550691950895,Closed,Open
53,1.7667818339852237,77.13156531383117,Closed,Open
54,1.8001173402868318,68.06773378209108,Closed,Open
55,1.8334528465884397,71.96119891943962,Closed,Open
56,1.8667883528900475,74.54994572502804,Closed,Open
57,1.900123859191656,65.11835386002059,Closed,Closed
58,1.9334593654932637,71.60708591896649,Closed,Open
59,1.966794871794872,70.06626510329522,Closed,Open
60,2.00013037809648,71.07581522181219,Closed,Open
61,2.0334658843980877,64.00790695485324,Closed,Closed
