frame,timestamp,aspect_ratio__mouth_width__inside_lips,lips_label,teeth_label
0,0.0,10.754541191980252,Closed,Open
1,0.0333355063016079,21.501341639713843,Closed,Closed
2,0.0666710126032159,34.77952536501016,Closed,Closed
3,0.1000065189048239,10.937743882772908,Closed,Open
4,0.1333420252064319,19.71181258929669,Closed,Closed
5,0.16667753150804,17.21344684523056,Closed,Closed
6,0.2000130378096479,12.431538408745787,Closed,Open
7,0.2333485441112559,12.635057184309115,Closed,Open
8,0.2666840504128639,19.490105118517555,Closed,Closed
9,0.3000195567144719,8.972560911750252,Closed,Open
10,0.33335506301608,9.453367328426092,Closed,Open
11,0.3666905693176879,17.434735443934905,Closed,Closed
12,0.4000260756192959,11.663800743651729,Closed,Open
13,0.4333615819209039,18.91062570899975,Closed,Closed
14,0.4666970882225119,19.16710851381835,Closed,Closed
15,0.50003259452412,21.014350838807047,Closed,Closed
16,0.5333681008257279,9.907753541894024,Closed,Open
17,0.5667036071273359,12.627019615312326,Closed,Open
18,0.6000391134289439,9.602083107326244,Closed,Open
19,0.6333746197305519,9.57169180190301,Closed,Open
20,0.66671012603216,11.117518688533124,Closed,Open
21,0.7000456323337679,9.317748761849629,Closed,Open
22,0.7333811386353759,12.102708604091712,Closed,Open
23,0.7667166449369839,10.983007745784796,Closed,Open
24,0.8000521512385919,10.920654760091312,Closed,Open
25,0.8333876575401998,10.692919217911363,Closed,Open
26,0.8667231638418079,12.417443110440056,Closed,Open
27,0.9000586701434159,9.831862348577674,Closed,Open
28,0.933394176445024,7.363374339493822,Closed,Open
29,0.9667296827466318,4.678812625735148,Closed,Open
30,1.00006518904824,3.3486116526106757,Closed,Open
31,1.0334006953498478,3.643654239388833,Closed,Open
32,1.066736201651456,1.9807858914772576,Closed,Open
33,1.1000717079530635,2.0340343503848053,Closed,Open
34,1.1334072142546718,1.7415981650585617,Closed,Open
35,1.16674272055628,2.1165917363031057,Closed,Open
36,1.2000782268578878,2.2398009154331047,Closed,Open
37,1.233413733159496,4.086414039785989,Closed,Open
38,1.2667492394611035,2.46875,Closed,Open
39,1.3000847457627118,2.708583722399956,Closed,Open
40,1.33342025206432,3.18412743412316,Closed,Open
