frame,timestamp,anchor_to_nose,lips_label,teeth_label
0,0.0,102.35357681683122,Closed,Closed
1,0.0333355063016079,106.37090825727812,Closed,Closed
2,0.0666710126032159,121.28477417941716,Closed,Closed
3,0.1000065189048239,127.25355487073844,Closed,Closed
4,0.1333420252064319,125.99036545434456,Closed,Closed
5,0.16667753150804,117.22404088857652,Closed,Closed
6,0.2000130378096479,126.8713818223606,Closed,Closed
7,0.2333485441112559,129.91110249753024,Closed,Open
8,0.2666840504128639,125.88743881412304,Closed,Closed
9,0.3000195567144719,126.94990822743269,Closed,Closed
10,0.33335506301608,127.46759050710529,Closed,Closed
11,0.3666905693176879,127.46555567301375,Closed,Closed
12,0.4000260756192959,127.8386251130382,Closed,Closed
13,0.4333615819209039,130.4021926609618,Closed,Open
14,0.4666970882225119,126.16607206552725,Closed,Closed
15,0.50003259452412,127.4927950364352,Closed,Closed
16,0.5333681008257279,126.19147878509938,Closed,Closed
17,0.5667036071273359,128.4642102476811,Closed,Open
18,0.6000391134289439,120.2515898820605,Closed,Closed
19,0.6333746197305519,127.18764831773588,Closed,Closed
20,0.66671012603216,127.4062845252008,Closed,Closed
21,0.7000456323337679,126.7011938795388,Closed,Closed
22,0.7333811386353759,128.04434796818427,Closed,Open
23,0.7667166449369839,119.62615789067614,Closed,Closed
24,0.8000521512385919,121.39957267826256,Closed,Closed
25,0.8333876575401998,117.37330658910064,Closed,Closed
26,0.8667231638418079,129.05373828797354,Closed,Open
27,0.9000586701434159,127.85721778156643,Closed,Closed
28,0.933394176445024,128.71882017982358,Closed,Open
29,0.9667296827466318,133.1987879504864,Closed,Open
30,1.00006518904824,136.25172133702927,Closed,Open
31,1.0334006953498478,136.89344036177846,Closed,Open
32,1.066736201651456,140.6227550524282,Closed,Open
33,1.1000717079530635,141.0541718732615,Closed,Open
34,1.1334072142546718,145.69174740346733,Closed,Open
35,1.16674272055628,137.2542755931753,Closed,Open
36,1.2000782268578878,151.05094081673,Open,Open
37,1.233413733159496,126.70577491587056,Closed,Closed
38,1.2667492394611035,140.38494651462625,Closed,Open
39,1.3000847457627118,137.5864809311427,Closed,Open
40,1.33342025206432,127.22471527956144,Closed,Closed
41,1.3667557583659278,125.48834909527272,Closed,Closed
42,1.400091264667536,130.4315336491107,Closed,Open
43,1.4334267709691435,124.69576942973258,Closed,Closed
44,1.4667622772707518,123.36308764964376,Closed,Closed
45,1.5000977835723597,117.11087766414218,Closed,Closed
46,1.5334332898739678,108.00757540293388,Closed,Closed
47,1.566768796175576,129.6055957232599,Closed,Open
48,1.6001043024771835,109.85648553189291,Closed,Closed
49,1.6334398087787918,123.83623709077004,Closed,Closed
50,1.6667753150803997,109.18954748368662,Closed,Closed
51,1.7001108213820078,132.91067511675124,Closed,Open
52,1.7334463276836158,135.76248517177132,Closed,Open
53,1.7667818339852237,130.81772077757512,Closed,Open
54,1.8001173402868318,117.09535899365346,Closed,Closed
55,1.8334528465884397,123.08727770526028,Closed,Closed
56,1.8667883528900475,130.89889993046788,Closed,Open
57,1.900123859191656,107.6004182308557,Closed,Closed
58,1.9334593654932637,124.8057671389048,Closed,Closed
59,1.966794871794872,124.908639774196,Closed,Closed
60,2.00013037809648,120.14553334525348,Closed,Closed
61,2.0334658843980877,117.74140655051193,Closed,Closed
62,2.0668013906996956,129.2712989785838,Closed,Open
