frame,timestamp,aspect_ratio_top_lip_heigh_to_mouth_width,lips_label,teeth_label
0,0.0,0.0755494804934949,Closed,Open
1,0.0333355063016079,0.0809675270254212,Closed,Open
2,0.0666710126032159,0.1185497956727638,Closed,Open
3,0.1000065189048239,0.1142030952818873,Closed,Open
4,0.1333420252064319,0.1245204954829389,Closed,Open
5,0.16667753150804,0.0952473098602108,Closed,Open
6,0.2000130378096479,0.126605310244212,Closed,Open
7,0.2333485441112559,0.1298158166939259,Closed,Open
8,0.2666840504128639,0.1265804888979785,Closed,Open
9,0.3000195567144719,0.1230600700494068,Closed,Open
10,0.33335506301608,0.1237803742498875,Closed,Open
11,0.3666905693176879,0.1267052322383206,Closed,Open
12,0.4000260756192959,0.1259840598942076,Closed,Open
13,0.4333615819209039,0.1267052322383206,Closed,Open
14,0.4666970882225119,0.1326399675657779,Closed,Open
15,0.50003259452412,0.1270867970371098,Closed,Open
16,0.5333681008257279,0.1178863265058659,Closed,Open
17,0.5667036071273359,0.1186252570398404,Closed,Open
18,0.6000391134289439,0.1039837233280768,Closed,Open
19,0.6333746197305519,0.1116450957664734,Closed,Open
20,0.66671012603216,0.1179605271907932,Closed,Open
21,0.7000456323337679,0.1077658480133075,Closed,Open
22,0.7333811386353759,0.1213101202712024,Closed,Open
23,0.7667166449369839,0.107911008020849,Closed,Open
24,0.8000521512385919,0.0971032312561817,Closed,Open
25,0.8333876575401998,0.1172540453252768,Closed,Open
26,0.8667231638418079,0.1324641363999452,Closed,Open
27,0.9000586701434159,0.1319395876625582,Closed,Open
28,0.933394176445024,0.1300367640430551,Closed,Open
29,0.9667296827466318,0.1133811326071908,Closed,Open
30,1.00006518904824,0.1136369311479101,Closed,Open
31,1.0334006953498478,0.1606651213493191,Open,Open
32,1.066736201651456,0.1143179428513377,Closed,Open
33,1.1000717079530635,0.1498627962371948,Closed,Open
34,1.1334072142546718,0.1756588487051098,Open,Open
35,1.16674272055628,0.109160938899893,Closed,Open
36,1.2000782268578878,0.1488095238095238,Closed,Open
37,1.233413733159496,0.088795356773963,Closed,Open
38,1.2667492394611035,0.1267404075601315,Closed,Open
39,1.3000847457627118,0.117658803367973,Closed,Open
40,1.33342025206432,0.1127049479046431,Closed,Open
41,1.3667557583659278,0.1128292882302899,Closed,Open
42,1.400091264667536,0.0961817214453226,Closed,Open
43,1.4334267709691435,0.1122957723121976,Closed,Open
44,1.4667622772707518,0.0978682338424063,Closed,Open
45,1.5000977835723597,0.1036673056623895,Closed,Open
46,1.5334332898739678,0.0654436807583114,Closed,Closed
47,1.566768796175576,0.1105878806369545,Closed,Open
