frame,timestamp,anchor_to_bottom_lip_top,lips_label,teeth_label
0,0.0,65.3741176495757,Closed,Open
1,0.0333355063016079,64.13471639848584,Closed,Open
2,0.0666710126032159,66.40297218479319,Closed,Open
3,0.1000065189048239,63.14063130613904,Closed,Open
4,0.1333420252064319,64.76911489901535,Closed,Open
5,0.16667753150804,65.28393028337555,Closed,Open
6,0.2000130378096479,63.71531090445586,Closed,Open
7,0.2333485441112559,65.13371523065125,Closed,Open
8,0.2666840504128639,64.33018001893599,Closed,Open
9,0.3000195567144719,63.67294602076672,Closed,Open
10,0.33335506301608,63.1653910752746,Closed,Open
11,0.3666905693176879,63.21411960979567,Closed,Open
12,0.4000260756192959,64.12515182025552,Closed,Open
13,0.4333615819209039,62.7782934721108,Closed,Open
14,0.4666970882225119,63.2892650399988,Closed,Open
15,0.50003259452412,62.706901555025894,Closed,Open
16,0.5333681008257279,64.66530224611033,Closed,Open
17,0.5667036071273359,63.122261859045665,Closed,Open
18,0.6000391134289439,63.56464859497237,Closed,Open
19,0.6333746197305519,63.65974682122747,Closed,Open
20,0.66671012603216,64.05217929514109,Closed,Open
21,0.7000456323337679,64.10844990706883,Closed,Open
22,0.7333811386353759,67.69804741923338,Closed,Open
23,0.7667166449369839,64.03723852783827,Closed,Open
24,0.8000521512385919,63.518799735390985,Closed,Open
25,0.8333876575401998,63.633201753851026,Closed,Open
26,0.8667231638418079,63.5815148064836,Closed,Open
27,0.9000586701434159,60.1777176175417,Closed,Open
28,0.933394176445024,61.327597896244235,Closed,Open
29,0.9667296827466318,62.46569891805031,Closed,Open
30,1.00006518904824,63.90621244469273,Closed,Open
31,1.0334006953498478,55.49178670666341,Closed,Open
32,1.066736201651456,72.82671756950364,Closed,Open
33,1.1000717079530635,67.01877138535654,Closed,Open
34,1.1334072142546718,71.32994048351668,Closed,Open
35,1.16674272055628,68.46467531643813,Closed,Open
36,1.2000782268578878,61.860452826206846,Closed,Open
37,1.233413733159496,56.64239716890172,Closed,Open
38,1.2667492394611035,58.64553376553954,Closed,Open
39,1.3000847457627118,62.31285317140066,Closed,Open
40,1.33342025206432,65.4599410233788,Closed,Open
41,1.3667557583659278,58.60619250010187,Closed,Open
42,1.400091264667536,76.1263579167793,Open,Open
43,1.4334267709691435,68.90192976187814,Closed,Open
44,1.4667622772707518,61.736073506880814,Closed,Open
45,1.5000977835723597,58.54424123833195,Closed,Open
46,1.5334332898739678,69.29734404574734,Closed,Open
47,1.566768796175576,56.687077233008985,Closed,Open
48,1.6001043024771835,64.5641496118007,Closed,Open
49,1.6334398087787918,65.17824244533139,Closed,Open
50,1.6667753150803997,78.16119684114122,Open,Open
51,1.7001108213820078,62.829404459220086,Closed,Open
52,1.7334463276836158,59.986870886896575,Closed,Open
53,1.7667818339852237,60.4216483259993,Closed,Open
54,1.8001173402868318,60.01666435249463,Closed,Open
55,1.8334528465884397,65.42776687723597,Closed,Open
56,1.8667883528900475,65.82171608853733,Closed,Open
57,1.900123859191656,60.01467807670695,Closed,Open
58,1.9334593654932637,64.71860869187557,Closed,Open
59,1.966794871794872,61.24746864530297,Closed,Open
