frame,timestamp,aspect_ratio_bottom_lip_heigh_to_mouth_width,lips_label,teeth_label
0,0.0,0.1337907427632185,Closed,Closed
1,0.0333355063016079,0.1274346917662431,Closed,Closed
2,0.0666710126032159,0.1579881463022434,Closed,Closed
3,0.1000065189048239,0.1597866593031185,Closed,Closed
4,0.1333420252064319,0.1643389061601301,Closed,Open
5,0.16667753150804,0.1345850565371437,Closed,Closed
6,0.2000130378096479,0.1551650830212666,Closed,Closed
7,0.2333485441112559,0.1695406681472114,Closed,Open
8,0.2666840504128639,0.1718799626786432,Closed,Open
9,0.3000195567144719,0.169576437375547,Closed,Open
10,0.33335506301608,0.1764233243305875,Closed,Open
11,0.3666905693176879,0.1838997740279248,Closed,Open
12,0.4000260756192959,0.1714706932976836,Closed,Open
13,0.4333615819209039,0.1781756266615715,Closed,Open
14,0.4666970882225119,0.1851768247690171,Closed,Open
15,0.50003259452412,0.184752999393536,Closed,Open
16,0.5333681008257279,0.1579024591508301,Closed,Closed
17,0.5667036071273359,0.1583905039297375,Closed,Closed
18,0.6000391134289439,0.156082527469535,Closed,Closed
19,0.6333746197305519,0.1629303150500947,Closed,Open
20,0.66671012603216,0.1572028439353135,Closed,Closed
21,0.7000456323337679,0.1588441818772789,Closed,Closed
22,0.7333811386353759,0.1667147021431267,Closed,Open
23,0.7667166449369839,0.1477768764916821,Closed,Closed
24,0.8000521512385919,0.1429130629308622,Closed,Closed
25,0.8333876575401998,0.141937779196303,Closed,Closed
26,0.8667231638418079,0.1839633312444627,Closed,Open
27,0.9000586701434159,0.1852476671301108,Closed,Open
28,0.933394176445024,0.1716420286067517,Closed,Open
29,0.9667296827466318,0.1784343955500258,Closed,Open
30,1.00006518904824,0.1914969092266401,Closed,Open
31,1.0334006953498478,0.2623133112878095,Open,Open
32,1.066736201651456,0.2046393322841177,Closed,Open
33,1.1000717079530635,0.2682271219772191,Open,Open
34,1.1334072142546718,0.2809793877536436,Open,Open
35,1.16674272055628,0.2179857392204434,Closed,Open
36,1.2000782268578878,0.2024684684725589,Closed,Open
37,1.233413733159496,0.1570154328524625,Closed,Closed
38,1.2667492394611035,0.2216093848102734,Open,Open
39,1.3000847457627118,0.2376395290288876,Open,Open
40,1.33342025206432,0.2301718734724987,Open,Open
41,1.3667557583659278,0.231851448388683,Open,Open
42,1.400091264667536,0.1957230584251437,Closed,Open
43,1.4334267709691435,0.2056593387309193,Closed,Open
44,1.4667622772707518,0.2017605327624452,Closed,Open
45,1.5000977835723597,0.2009566670400842,Closed,Open
46,1.5334332898739678,0.1590160245807317,Closed,Closed
47,1.566768796175576,0.1901763379675405,Closed,Open
48,1.6001043024771835,0.1884148707281363,Closed,Open
49,1.6334398087787918,0.1930111046751509,Closed,Open
50,1.6667753150803997,0.1077134814138234,Closed,Closed
51,1.7001108213820078,0.2123490260889977,Closed,Open
52,1.7334463276836158,0.2327166159131273,Open,Open
53,1.7667818339852237,0.1567394672287316,Closed,Closed
54,1.8001173402868318,0.1501820616982452,Closed,Closed
55,1.8334528465884397,0.1582331447055684,Closed,Closed
56,1.8667883528900475,0.1670034844717162,Closed,Open
57,1.900123859191656,0.1349462513172004,Closed,Closed
58,1.9334593654932637,0.1134302980723296,Closed,Closed
59,1.966794871794872,0.1216610759141485,Closed,Closed
60,2.00013037809648,0.1513500063015507,Closed,Closed
61,2.0334658843980877,0.141696820297549,Closed,Closed
62,2.0668013906996956,0.1678154176836116,Closed,Open
63,2.100136897001304,0.1530858919520678,Closed,Closed
64,2.133472403302912,0.1665130143184629,Closed,Open
65,2.1668079096045196,0.1716715889039847,Closed,Open
66,2.2001434159061275,0.1985137598585885,Closed,Open
67,2.233478922207736,0.1418276554619502,Closed,Closed
68,2.2668144285093437,0.2008953889825934,Closed,Open
69,2.3001499348109515,0.1680150702119566,Closed,Open
70,2.33348544111256,0.173606925037808,Closed,Open
71,2.3668209474141677,0.1881697006566643,Closed,Open
72,2.4001564537157756,0.1753298132673152,Closed,Open
73,2.433491960017383,0.1938704048637392,Closed,Open
74,2.4668274663189917,0.13080316630419,Closed,Closed
