frame,timestamp,aspect_ratio_between_lips_to_mouth_width,lips_label,teeth_label
0,0.0,0.0929839759919937,Closed,Closed
1,0.0333355063016079,0.0465087256765856,Closed,Closed
2,0.0666710126032159,0.0287525487914233,Closed,Closed
3,0.1000065189048239,0.0914265328131346,Closed,Closed
4,0.1333420252064319,0.0507310018025937,Closed,Closed
5,0.16667753150804,0.0580941172904644,Closed,Closed
6,0.2000130378096479,0.0804405671382138,Closed,Closed
7,0.2333485441112559,0.0791448733007598,Closed,Closed
8,0.2666840504128639,0.0513080865351464,Closed,Closed
9,0.3000195567144719,0.1114509012349444,Closed,Open
10,0.33335506301608,0.1057824122620327,Closed,Open
11,0.3666905693176879,0.0573567636409346,Closed,Closed
12,0.4000260756192959,0.0857353466488418,Closed,Closed
13,0.4333615819209039,0.0528803232314037,Closed,Closed
14,0.4666970882225119,0.0521727103114723,Closed,Closed
15,0.50003259452412,0.0475865282573139,Closed,Closed
16,0.5333681008257279,0.1009310532172194,Closed,Closed
17,0.5667036071273359,0.0791952519648687,Closed,Closed
18,0.6000391134289439,0.1041440684091783,Closed,Closed
19,0.6333746197305519,0.1044747387082797,Closed,Closed
20,0.66671012603216,0.0899481285362195,Closed,Closed
21,0.7000456323337679,0.107322060892474,Closed,Open
22,0.7333811386353759,0.0826261321091311,Closed,Closed
23,0.7667166449369839,0.0910497400298923,Closed,Closed
24,0.8000521512385919,0.0915696010878782,Closed,Closed
25,0.8333876575401998,0.0935198311724764,Closed,Closed
26,0.8667231638418079,0.0805318769013922,Closed,Closed
27,0.9000586701434159,0.1017101302424829,Closed,Closed
28,0.933394176445024,0.1358073016383875,Closed,Open
29,0.9667296827466318,0.2137294394948926,Closed,Open
30,1.00006518904824,0.2986312250392997,Open,Open
31,1.0334006953498478,0.2744497513484525,Closed,Open
32,1.066736201651456,0.5048501225209183,Open,Open
33,1.1000717079530635,0.4916337818045289,Open,Open
34,1.1334072142546718,0.5741852627447932,Open,Open
35,1.16674272055628,0.4724576699645563,Open,Open
36,1.2000782268578878,0.4464682522047423,Open,Open
37,1.233413733159496,0.2447133330748764,Closed,Open
38,1.2667492394611035,0.4050632911392405,Open,Open
39,1.3000847457627118,0.3691966365041669,Open,Open
40,1.33342025206432,0.3140577821362789,Open,Open
41,1.3667557583659278,0.3863074633489289,Open,Open
42,1.400091264667536,0.4685495657427228,Open,Open
43,1.4334267709691435,0.3911446072922084,Open,Open
44,1.4667622772707518,0.3581537150791221,Open,Open
45,1.5000977835723597,0.3609509936367848,Open,Open
46,1.5334332898739678,0.2751749192952392,Closed,Open
47,1.566768796175576,0.3236282932392293,Open,Open
48,1.6001043024771835,0.2772845849197524,Closed,Open
49,1.6334398087787918,0.4070253845226452,Open,Open
50,1.6667753150803997,0.3217153416220737,Open,Open
51,1.7001108213820078,0.3869698560712916,Open,Open
52,1.7334463276836158,0.304555642240009,Open,Open
