frame,timestamp,anchor_to_top_lip_bottom,lips_label,teeth_label
0,0.0,64.09469809671981,Closed,Open
1,0.0333355063016079,65.08434269860417,Closed,Open
2,0.0666710126032159,66.19529350858944,Closed,Open
3,0.1000065189048239,65.39053768676114,Closed,Open
4,0.1333420252064319,65.99800129553105,Closed,Open
5,0.16667753150804,65.8731788476196,Closed,Open
6,0.2000130378096479,66.2534187143378,Closed,Open
7,0.2333485441112559,66.80570171703329,Closed,Open
8,0.2666840504128639,65.76473923440416,Closed,Open
9,0.3000195567144719,66.00947598612646,Closed,Open
10,0.33335506301608,65.83969808434253,Closed,Open
11,0.3666905693176879,65.01226698675276,Closed,Open
12,0.4000260756192959,65.98845715656296,Closed,Open
13,0.4333615819209039,64.14199231333,Closed,Open
14,0.4666970882225119,64.33100582878205,Closed,Open
15,0.50003259452412,63.6364711876989,Closed,Open
16,0.5333681008257279,66.61457986119677,Closed,Open
17,0.5667036071273359,65.22132921086417,Closed,Open
18,0.6000391134289439,65.11670549612658,Closed,Open
19,0.6333746197305519,66.66620053276048,Closed,Open
20,0.66671012603216,66.98741297878951,Closed,Open
21,0.7000456323337679,66.59110234594624,Closed,Open
22,0.7333811386353759,69.62163090102827,Closed,Open
23,0.7667166449369839,65.5833560209421,Closed,Open
24,0.8000521512385919,65.33899973858122,Closed,Open
25,0.8333876575401998,65.23304510679279,Closed,Open
26,0.8667231638418079,65.59081645293409,Closed,Open
27,0.9000586701434159,62.26138650382656,Closed,Open
28,0.933394176445024,63.91370475947173,Closed,Open
29,0.9667296827466318,65.8415106682613,Closed,Open
30,1.00006518904824,67.53473437427971,Closed,Open
31,1.0334006953498478,63.88952640566109,Closed,Open
32,1.066736201651456,74.26493560359971,Closed,Open
33,1.1000717079530635,70.74781540887406,Closed,Open
34,1.1334072142546718,73.33586322738178,Closed,Open
35,1.16674272055628,72.32410713090135,Closed,Open
36,1.2000782268578878,78.12783822883495,Open,Open
37,1.233413733159496,68.66913452803246,Closed,Open
38,1.2667492394611035,66.63399513821307,Closed,Open
39,1.3000847457627118,74.57326964171466,Closed,Open
40,1.33342025206432,72.29876582472647,Closed,Open
41,1.3667557583659278,67.31513461298897,Closed,Open
42,1.400091264667536,75.53433121821811,Open,Open
43,1.4334267709691435,68.46509246851755,Closed,Open
44,1.4667622772707518,67.70150653105452,Closed,Open
45,1.5000977835723597,63.1726673472367,Closed,Open
46,1.5334332898739678,63.347858354798895,Closed,Open
47,1.566768796175576,65.40410100212783,Closed,Open
48,1.6001043024771835,62.64573301609458,Closed,Open
49,1.6334398087787918,66.0309495947522,Closed,Open
50,1.6667753150803997,69.73464244637435,Closed,Open
51,1.7001108213820078,67.65030215681205,Closed,Open
52,1.7334463276836158,67.23891890265895,Closed,Open
53,1.7667818339852237,65.67591063592283,Closed,Open
54,1.8001173402868318,61.27564216065508,Closed,Open
55,1.8334528465884397,66.79455934322391,Closed,Open
56,1.8667883528900475,66.6184694892706,Closed,Open
57,1.900123859191656,60.66176729108575,Closed,Open
58,1.9334593654932637,66.54874943434872,Closed,Open
59,1.966794871794872,63.32915858919969,Closed,Open
60,2.00013037809648,61.75833949411029,Closed,Open
61,2.0334658843980877,58.04920573932148,Closed,Open
62,2.0668013906996956,60.77984844744357,Closed,Open
63,2.100136897001304,59.91256461281423,Closed,Open
64,2.133472403302912,60.8849353448628,Closed,Open
65,2.1668079096045196,60.56299105946826,Closed,Open
66,2.2001434159061275,59.18687748175691,Closed,Open
67,2.233478922207736,58.6591118821342,Closed,Open
68,2.2668144285093437,56.62220019792743,Closed,Closed
69,2.3001499348109515,60.8846721614976,Closed,Open
70,2.33348544111256,62.26367970291511,Closed,Open
71,2.3668209474141677,60.321460113917965,Closed,Open
72,2.4001564537157756,55.744589615396364,Closed,Closed
73,2.433491960017383,53.09468307963659,Closed,Closed
74,2.4668274663189917,66.61642878728195,Closed,Open
75,2.5001629726205996,53.92037377180429,Closed,Closed
76,2.5334984789222075,58.572941099679056,Closed,Open
77,2.566833985223816,52.999198873677145,Closed,Closed
78,2.6001694915254236,64.4014570285986,Closed,Open
79,2.6335049978270315,58.40812253769137,Closed,Open
80,2.66684050412864,57.36791210329983,Closed,Closed
81,2.7001760104302477,65.84131244577182,Closed,Open
82,2.7335115167318556,64.26707574786519,Closed,Open
83,2.7668470230334634,61.88102416403572,Closed,Open
84,2.8001825293350717,61.9327225165315,Closed,Open
85,2.8335180356366796,64.83990356959063,Closed,Open
86,2.8668535419382875,66.03225397437947,Closed,Open
87,2.900189048239896,60.71056977580453,Closed,Open
88,2.9335245545415036,61.869660230891775,Closed,Open
89,2.9668600608431115,58.75148133525897,Closed,Open
90,3.0001955671447194,56.577248076675545,Closed,Closed
91,3.0335310734463277,57.91709185619733,Closed,Open
92,3.0668665797479355,55.38004201519104,Closed,Closed
93,3.1002020860495434,56.801277681309514,Closed,Closed
94,3.1335375923511517,57.78840568454543,Closed,Open
95,3.1668730986527596,59.98988840594896,Closed,Open
96,3.200208604954367,63.303846919805835,Closed,Open
97,3.2335441112559757,67.3357486053861,Closed,Open
98,3.2668796175575836,62.6556157132067,Closed,Open
99,3.3002151238591915,59.22711319756189,Closed,Open
100,3.3335506301607993,60.04137722836624,Closed,Open
101,3.3668861364624076,62.82617949639457,Closed,Open
102,3.4002216427640155,62.292906881399176,Closed,Open
103,3.4335571490656234,57.95941278396049,Closed,Open
104,3.4668926553672317,59.15058881232404,Closed,Open
105,3.5002281616688395,58.44706149065824,Closed,Open
106,3.5335636679704474,58.56849770659901,Closed,Open
107,3.5668991742720553,56.56741019441684,Closed,Closed
108,3.6002346805736636,57.81908228064891,Closed,Open
109,3.633570186875271,60.416697162681146,Closed,Open
110,3.6669056931768793,58.01418120496133,Closed,Open
111,3.700241199478488,60.75265681355284,Closed,Open
112,3.733576705780095,57.36568999767064,Closed,Closed
113,3.7669122120817033,59.33664008599936,Closed,Open
114,3.800247718383312,61.09977531302631,Closed,Open
115,3.833583224684919,63.70913026950895,Closed,Open
116,3.8669187309865274,60.359301824974466,Closed,Open
117,3.9002542372881353,60.93312405909733,Closed,Open
118,3.933589743589744,64.60796077553051,Closed,Open
119,3.966925249891351,61.50655982701841,Closed,Open
120,4.00026075619296,67.41001282479063,Closed,Open
